input_name,accepted_name,source
Amazophrynella minuta,Amazophrynella minuta,AmphibiaWeb
Amazophrynella moisesii,Amazophrynella moisesii,AmphibiaWeb
Amazophrynella siona,Amazophrynella siona,AmphibiaWeb
Amazophrynella teko,Amazophrynella teko,AmphibiaWeb
Amazophrynella vote,Amazophrynella vote,AmphibiaWeb
Amazophrynella xinguensis,Amazophrynella xinguensis,AmphibiaWeb
Amazops amazops,Amazops amazops,AmphibiaWeb
Amblyphrynus ingeri,Strabomantis ingeri,AmphibiaWeb
Amblystoma annulatum,Ambystoma annulatum,AmphibiaWeb
Amblystoma cingulatum,Ambystoma cingulatum,AmphibiaWeb
Amblystoma tenebrosum,Dicamptodon tenebrosus,AmphibiaWeb
Ambyostoma californiense,Ambystoma californiense,AmphibiaWeb
Ambystoma altamirani,Ambystoma altamirani,AmphibiaWeb
Ambystoma amblycephalum,Ambystoma amblycephalum,AmphibiaWeb
Ambystoma andersoni,Ambystoma andersoni,AmphibiaWeb
Ambystoma annulatum,Ambystoma annulatum,AmphibiaWeb
Ambystoma aterrimum,Dicamptodon aterrimus,AmphibiaWeb
Ambystoma barbouri,Ambystoma barbouri,AmphibiaWeb
Ambystoma bishopi,Ambystoma bishopi,AmphibiaWeb
Ambystoma bombypellum,Ambystoma bombypellum,AmphibiaWeb
Ambystoma californiense,Ambystoma californiense,AmphibiaWeb
Ambystoma cingulatum,Ambystoma cingulatum,AmphibiaWeb
Ambystoma dumerilii,Ambystoma dumerilii,AmphibiaWeb
Ambystoma flavipiperatum,Ambystoma flavipiperatum,AmphibiaWeb
Ambystoma gracile,Ambystoma gracile,AmphibiaWeb
Ambystoma granulosum,Ambystoma granulosum,AmphibiaWeb
Ambystoma jeffersonianum,Ambystoma jeffersonianum,AmphibiaWeb
Ambystoma laterale,Ambystoma laterale,AmphibiaWeb
Ambystoma leorae,Ambystoma leorae,AmphibiaWeb
Ambystoma lermaense,Ambystoma lermaense,AmphibiaWeb
Ambystoma mabeei,Ambystoma mabeei,AmphibiaWeb
Ambystoma macrodactylum,Ambystoma macrodactylum,AmphibiaWeb
Ambystoma macrodactylum croceum,Ambystoma macrodactylum,AmphibiaWeb
Ambystoma macrodactylum sigillatum,Ambystoma macrodactylum,AmphibiaWeb
Ambystoma maculatum,Ambystoma maculatum,AmphibiaWeb
Ambystoma mavortia,Ambystoma mavortium,AmphibiaWeb
Ambystoma mavortium,Ambystoma mavortium,AmphibiaWeb
Ambystoma mexicanum,Ambystoma mexicanum,AmphibiaWeb
Ambystoma opacum,Ambystoma opacum,AmphibiaWeb
Ambystoma ordinarium,Ambystoma ordinarium,AmphibiaWeb
Ambystoma platineum,Ambystoma laterale,AmphibiaWeb
Ambystoma rivulare,Ambystoma rivulare,AmphibiaWeb
Ambystoma rivularis,Ambystoma rivulare,AmphibiaWeb
Ambystoma rosaceum,Ambystoma rosaceum,AmphibiaWeb
Ambystoma silvense,Ambystoma silvense,AmphibiaWeb
Ambystoma silvensis,Ambystoma silvense,AmphibiaWeb
Ambystoma subsalsum,Ambystoma velasci,AmphibiaWeb
Ambystoma talpoideum,Ambystoma talpoideum,AmphibiaWeb
Ambystoma tenebrosum,Dicamptodon tenebrosus,AmphibiaWeb
Ambystoma texanum,Ambystoma texanum,AmphibiaWeb
Ambystoma tigrinum,Ambystoma tigrinum,AmphibiaWeb
Ambystoma vehiculum,Plethodon vehiculum,AmphibiaWeb
Ambystoma velasci,Ambystoma velasci,AmphibiaWeb
Ameerega altamazonica,Ameerega altamazonica,AmphibiaWeb
Ameerega andina,Paruwrobates andina,AmphibiaWeb
Ameerega bassleri,Ameerega bassleri,AmphibiaWeb
Ameerega berohoka,Ameerega berohoka,AmphibiaWeb
Ameerega bilinguis,Ameerega bilinguis,AmphibiaWeb
Ameerega boehmei,Ameerega boehmei,AmphibiaWeb
Ameerega boliviana,Ameerega boliviana,AmphibiaWeb
Ameerega braccata,Ameerega braccata,AmphibiaWeb
Ameerega cainarachi,Ameerega cainarachi,AmphibiaWeb
Ameerega erythromos,Paruwrobates erythromos,AmphibiaWeb
Ameerega flavopicta,Ameerega flavopicta,AmphibiaWeb
Ameerega hahneli,Ameerega hahneli,AmphibiaWeb
Ameerega ignipedis,Ameerega ignipedis,AmphibiaWeb
Ameerega imasmari,Ameerega imasmari,AmphibiaWeb
Ameerega ingeri,Ameerega ingeri,AmphibiaWeb
Ameerega kuriinti,Ameerega kuriinti,AmphibiaWeb
Ameerega labialis,Ameerega labialis,AmphibiaWeb
Ameerega macero,Ameerega macero,AmphibiaWeb
Ameerega maculata,Ameerega maculata,AmphibiaWeb
Ameerega munduruku,Ameerega munduruku,AmphibiaWeb
Ameerega panguana,Ameerega panguana,AmphibiaWeb
Ameerega parvula,Ameerega parvula,AmphibiaWeb
Ameerega pepperi,Ameerega pepperi,AmphibiaWeb
Ameerega peruviridis,Ameerega peruviridis,AmphibiaWeb
Ameerega petersi,Ameerega petersi,AmphibiaWeb
Ameerega picta,Ameerega picta,AmphibiaWeb
Ameerega planipaleae,Ameerega planipaleae,AmphibiaWeb
Ameerega pongoensis,Ameerega pongoensis,AmphibiaWeb
Ameerega pulchripecta,Ameerega pulchripecta,AmphibiaWeb
Ameerega rubriventris,Ameerega rubriventris,AmphibiaWeb
Ameerega shihuemoy,Ameerega shihuemoy,AmphibiaWeb
Ameerega silverstonei,Ameerega silverstonei,AmphibiaWeb
Ameerega simulans,Ameerega simulans,AmphibiaWeb
Ameerega smaragdina,Ameerega petersi,AmphibiaWeb
Ameerega trivittata,Ameerega trivittata,AmphibiaWeb
Ameerega yoshina,Ameerega yoshina,AmphibiaWeb
Ameerega yungicola,Ameerega yungicola,AmphibiaWeb
Amietia amieti,Amietia chapini,AmphibiaWeb
Amietia angolensis,Amietia angolensis,AmphibiaWeb
Amietia chapini,Amietia chapini,AmphibiaWeb
Amietia delalandii,Amietia delalandii,AmphibiaWeb
Amietia desaegeri,Amietia desaegeri,AmphibiaWeb
Amietia fuscigula,Amietia fuscigula,AmphibiaWeb
Amietia hymenopus,Amietia hymenopus,AmphibiaWeb
Amietia inyangae,Amietia inyangae,AmphibiaWeb
Amietia johnstoni,Amietia johnstoni,AmphibiaWeb
Amietia lubrica,Amietia nutti,AmphibiaWeb
Amietia moyerorum,Amietia moyerorum,AmphibiaWeb
Amietia nutti,Amietia nutti,AmphibiaWeb
Amietia poyntoni,Amietia poyntoni,AmphibiaWeb
Amietia quecketti,Amietia delalandii,AmphibiaWeb
Amietia ruwenzorica,Amietia ruwenzorica,AmphibiaWeb
Amietia tenuoplicata,Amietia tenuoplicata,AmphibiaWeb
